BlackAvg,WhiteAvg,HispanicAvg,AvgIncome,Combo,school_id,SQRPRating,SQRPRankingNumber,AccountabilityStatus,AccountabilityStatusNumber,NSAReading3-8,NSAMath3-8
0.12,0.53,0.3,51025.75062,B,609854,Level 2,4,Provisional Support,2,39,37
0.07,0.47,0.46,60614.14795,C,609856,Level 2+,3,Good Standing,1,68,54
0.04,0.41,0.41,60660.72144,C,609857,Level 1+,1,Good Standing,1,68,64
0.31,0.63,0.05,83397.61548,C,609861,Level 2+,3,Good Standing,1,71,50
0.92,0.02,0.06,37844.72897,BB,609862,Level 2+,3,Good Standing,1,68,66
0.03,0.79,0.11,75765.77309,CW,609863,Level 1,2,Good Standing,1,68,64
0.97,0,0.01,19816.39784,AB,609864,Level 2,4,Provisional Support,2,31,20
0.45,0.26,0.21,36962.16487,B,609865,Level 2+,3,Good Standing,1,41,36
0.02,0.77,0.13,73131.33827,CW,609866,Level 1+,1,Good Standing,1,99,99
0.02,0.11,0.85,35638.9886,BH,609867,Level 1+,1,Good Standing,1,46,46
0.96,0.01,0.03,31305.05087,BB,609869,Level 2,4,Intensive Support,3,12,12
0.44,0.02,0.51,30860.37267,B,609870,Level 2+,3,Good Standing,1,48,39
0.07,0.18,0.71,35002.71822,BH,609872,Level 1+,1,Good Standing,1,79,77
0.83,0.02,0.15,22948.80382,AB,609873,Level 2,4,Intensive Support,3,26,9
0.07,0.5,0.38,56242.3653,B,609875,Level 1+,1,Good Standing,1,61,52
0.37,0.1,0.51,65166.34869,C,609879,Level 1,2,Good Standing,1,67,79
0.95,0.02,0.02,25131.2288,AB,610293,Level 2,4,Provisional Support,2,13,9
0.97,0.02,0.01,38543.3746,BB,609883,Level 2,4,Provisional Support,2,32,37
0.01,0.7,0.25,59706.96591,B,609884,Level 1,2,Good Standing,1,84,81
0.56,0.13,0.22,32538.51861,B,609885,Level 1,2,Intensive Support,3,24,35
0.98,0.01,0,34463.90985,BB,609887,Level 1+,1,Good Standing,1,96,95
0.96,0.01,0.02,14774.08454,AB,609891,Level 2,4,Intensive Support,3,6,3
0.02,0.54,0.41,74798.36858,C,609893,Level 1,2,Good Standing,1,83,76
0.65,0.09,0.03,41076.16684,B,609894,Level 2,4,Intensive Support,3,16,6
0.89,0,0.1,20293.95067,AB,609897,Level 1+,1,Provisional Support,2,42,26
0.08,0.08,0.85,43318.8985,BH,609898,Level 1,2,Good Standing,1,58,41
0.84,0.02,0.13,30679.47437,BB,609900,Level 2+,3,Good Standing,1,28,44
0.02,0.77,0.1,80868.60699,C,609901,Level 1+,1,Good Standing,1,98,96
0.98,0,0,40935.64567,BB,610004,Level 1+,1,Good Standing,1,95,88
0.99,0,0,27698.63244,AB,610005,Level 1+,1,Good Standing,1,54,48
0.04,0.74,0.14,112055.9538,DW,610010,Level 1,2,Provisional Support,2,63,41
0.02,0.49,0.2,68578.19204,C,610011,Level 1+,1,Good Standing,1,91,90
0.26,0.53,0.1,98861.09205,C,610012,Level 2,4,Provisional Support,2,16,5
0.09,0.18,0.7,31551.28686,B,610013,Level 1,2,Good Standing,1,42,45
0.04,0.19,0.73,42480.14789,BH,610015,Level 1,2,Good Standing,1,70,46
0.41,0.5,0.07,104763.0073,D,610016,Level 1+,1,Good Standing,1,84,65
0.97,0.01,0.02,17029.0923,AB,610290,Level 2,4,Intensive Support,3,16,14
0.23,0.02,0.68,30326.98117,B,610100,Level 2,4,Intensive Support,3,31,17
0.97,0.01,0.02,19882.5855,AB,610102,Level 2,4,Intensive Support,3,14,6
0.92,0.03,0.02,19114.17784,AB,610103,Level 2,4,Intensive Support,3,33,28
0,0.86,0.11,54133.5967,B,610104,Level 1+,1,Good Standing,1,89,89
0.45,0.02,0.52,23028.75157,A,610106,Level 1+,1,Good Standing,1,35,49
0.93,0,0.05,26998.86876,AB,610108,Level 2+,3,Good Standing,1,25,21
0,0.41,0.35,70014.08176,C,610111,Level 1+,1,Good Standing,1,76,74
0.97,0.01,0.01,38378.35671,BB,610115,Level 1,2,Good Standing,1,37,32
0.97,0.02,0,21768.86555,AB,610116,Level 1+,1,Good Standing,1,65,54
0.01,0.16,0.81,47407.10542,BH,610120,Level 1,2,Good Standing,1,64,48
0.34,0.29,0.2,30918.47299,B,610121,Level 2+,3,Good Standing,1,52,36
0.07,0.65,0.18,72118.95904,C,610122,Level 1,2,Good Standing,1,79,65
0.89,0.04,0.06,25900.06664,AB,610123,Level 2,4,Provisional Support,2,32,20
0.99,0,0.01,24802.13123,AB,610124,Level 2,4,Provisional Support,2,21,20
0.04,0.15,0.8,40086.61723,BH,610125,Level 2+,3,Good Standing,1,54,43
0.56,0.18,0.04,63180.96434,C,610126,Level 2,4,Provisional Support,2,50,34
0.03,0.49,0.19,49512.24054,B,610127,Level 1,2,Good Standing,1,78,73
0.04,0.11,0.82,37175.09359,BH,610129,Level 1+,1,Good Standing,1,76,89
0.96,0.01,0.02,38633.59346,BB,610130,Level 1,2,Good Standing,1,41,31
0.49,0.07,0.43,26851.08924,A,610131,Level 1+,1,Good Standing,1,67,55
0.82,0.02,0.15,31447.63535,BB,610133,Level 3,5,Intensive Support,3,22,13
0.02,0.55,0.35,72591.08096,C,610135,Level 1,2,Good Standing,1,76,53
0.03,0.79,0.11,130220.3163,DW,610136,Level 1+,1,Good Standing,1,91,89
0.01,0.62,0.28,63581.18285,C,610137,Level 1+,1,Good Standing,1,83,83
0.71,0.11,0.16,15950.65741,A,610139,Level 1+,1,Good Standing,1,72,53
0.03,0.73,0.17,73571.32024,CW,610141,Level 1+,1,Good Standing,1,94,90
0.18,0.57,0.06,64688.50001,C,610142,Level 2+,3,Good Standing,1,71,66
0.81,0.11,0.03,33623.78038,BB,610143,Level 1+,1,Good Standing,1,46,40
0.95,0,0.02,31797.74497,BB,610146,Level 2,4,Provisional Support,2,43,21
0.1,0.55,0.15,75348.68896,C,610147,Level 1+,1,Good Standing,1,91,86
0.05,0.06,0.89,26011.43741,A,610148,Level 1+,1,Good Standing,1,76,95
0.97,0.01,0.01,35451.34508,BB,610152,Level 1,2,Good Standing,1,81,52
0.97,0,0.02,24565.28494,AB,610153,Level 1,2,Good Standing,1,42,27
0.01,0.7,0.1,93206.87911,C,610155,Level 1+,1,Good Standing,1,98,97
0,0.05,0.95,41570.37096,BH,610157,Level 2,4,Provisional Support,2,57,38
0.32,0.38,0.25,71904.64545,C,610158,Level 2,4,Provisional Support,2,63,41
0.02,0.03,0.93,38909.06955,BH,610167,Level 1,2,Good Standing,1,47,33
0.03,0.77,0.12,107273.4165,D,609828,Level 1+,1,Good Standing,1,84,76
0.05,0.14,0.8,39921.76951,B,609772,Level 1+,1,Good Standing,1,79,76
0.05,0.83,0.06,91936.34832,CW,609773,Level 1+,1,Good Standing,1,88,76
0.04,0.79,0.07,73647.98641,CW,609774,,,,,,
0.05,0.31,0.39,42440.35247,B,609777,Level 2+,3,Good Standing,1,63,46
0.01,0.77,0.13,103689.213,DW,609782,Level 1,2,Good Standing,1,93,86
0.97,0.02,0.01,22754.68875,AB,609786,Level 2+,3,Good Standing,1,42,36
0.03,0.38,0.54,46915.72808,B,610325,Level 1,2,Good Standing,1,43,54
0.56,0.35,0.05,78486.0175,C,609788,Level 2+,3,Good Standing,1,51,43
0.96,0.01,0.02,37824.69252,BB,609790,Level 2+,3,Good Standing,1,24,11
0.95,0.02,0.02,15280.49425,AB,609791,Level 1,2,Provisional Support,2,24,28
0.02,0.38,0.5,54728.82676,B,609792,Level 1+,1,Good Standing,1,68,56
0.94,0.02,0.02,21308.08161,AB,609793,Level 2,4,Provisional Support,2,10,10
0.62,0.12,0.24,34327.56681,B,609795,Level 1+,1,Good Standing,1,70,60
0.01,0.57,0.29,64488.13731,C,609796,Level 1+,1,Good Standing,1,97,95
0.94,0.04,0.02,17255.03894,AB,609797,Level 2+,3,Good Standing,1,30,24
0.05,0.59,0.23,78389.63116,C,609798,Level 1+,1,Good Standing,1,87,71
